|V|	|E|	time	approx	optimal
10	19	0.019	2348	1916
10	23	0.026	4091	3269
10	26	0.028	3527	2286
10	24	0.031	3463	2902
10	21	0.021	3118	2555
10	21	0.05	944	944
10	28	0.033	4079	2554
10	19	0.023	3865	2552
10	19	0.031	2705	1767
10	14	0.022	1579	1167
10	26	0.036	4065	3077
10	19	0.024	3828	3160
10	25	0.028	3808	2924
10	29	0.028	1804	1705
10	26	0.032	3762	3402
10	20	0.025	4356	2360
10	28	0.036	5433	4424
10	18	0.024	1938	1569
10	18	0.026	3474	2026
10	23	0.025	2315	2315
10	25	0.027	3275	2035
10	27	0.03	4209	3251
10	24	0.025	5682	4194
10	29	0.021	3772	3772
10	19	0.024	2456	2165
10	19	0.025	4529	3542
10	25	0.077	1957	1957
10	26	0.034	3833	2875
10	23	0.028	2604	2006
10	26	0.035	4157	2911
10	19	0.032	3967	2380
10	23	0.057	5564	4429
10	22	0.026	2653	2139
10	25	0.031	3477	2614
10	22	0.021	3131	2419
10	24	0.029	4147	2911
10	26	0.046	3052	3052
10	22	0.031	2919	2359
10	27	0.037	4998	4059
10	20	0.026	2100	1699
10	21	0.038	4309	2953
10	18	0.067	3132	2488
10	21	0.027	2990	2002
10	20	0.048	3729	3093
10	28	0.033	4698	3370
10	25	0.038	3604	3149
10	23	0.029	4625	3137
10	24	0.026	5018	3693
10	32	0.036	3467	3062
10	22	0.027	2824	1834
10	24	0.022	2096	1734
10	15	0.016	539	446
10	18	0.031	2209	2209
10	20	0.05	3048	2078
10	25	0.034	2979	1927
10	20	0.026	3243	3243
10	23	0.021	2902	2202
10	18	0.044	2296	1935
10	25	0.057	3839	2512
10	30	0.026	2805	2655
10	23	0.025	2582	2016
10	23	0.036	2635	1804
10	25	0.025	2933	2141
10	21	0.024	2774	2774
10	17	0.02	3459	2347
10	25	0.029	2964	1616
10	15	0.022	2381	2380
10	24	0.022	4489	2915
10	16	0.024	3403	2515
10	27	0.039	4669	3008
10	19	0.033	1374	1374
10	21	0.033	5038	2917
10	19	0.03	2521	2223
10	22	0.03	4761	3350
10	21	0.068	4504	3322
10	21	0.028	4751	3120
10	25	0.028	5138	3947
10	24	0.023	2505	2203
10	18	0.044	4674	3428
10	20	0.025	3294	2543
10	19	0.035	3904	3030
10	18	0.036	2693	2310
10	14	0.024	3324	2357
10	23	0.029	3421	2565
10	22	0.019	3421	2537
10	22	0.055	2461	2143
10	22	0.025	5254	3875
10	22	0.026	4183	2906
10	21	0.022	3417	2579
10	25	0.053	3891	3010
10	25	0.029	4323	3002
10	24	0.05	4554	3181
10	19	0.021	2196	2196
10	20	0.025	1853	1474
10	32	0.033	5924	4928
10	21	0.044	2669	1723
10	27	0.027	3646	2497
10	19	0.027	3527	2118
10	20	0.033	2779	2034
10	23	0.035	4437	2484
10	22	0.023	4823	3865
10	27	0.028	1482	1355
10	22	0.025	5475	3453
10	25	0.026	4942	3882
10	21	0.026	3051	2220
10	20	0.023	3317	2583
10	22	0.029	5433	2896
10	25	0.03	1939	1939
10	21	0.02	2986	2105
10	18	0.043	5579	3656
10	23	0.022	4963	3679
10	29	0.025	2793	2429
10	20	0.024	3509	1980
10	22	0.048	4036	3831
10	25	0.034	3352	2579
10	29	0.033	4996	2855
10	26	0.021	2779	1936
10	20	0.027	3453	2486
10	20	0.023	3457	2145
10	24	0.036	4444	2924
10	26	0.047	2757	2491
10	23	0.027	3579	2726
10	22	0.026	4607	3551
10	27	0.023	3135	2976
10	18	0.024	3434	2520
10	17	0.025	2303	1950
10	18	0.024	2119	1705
10	30	0.077	2148	2148
10	21	0.028	6330	4413
10	22	0.022	2870	2040
10	26	0.028	4122	2925
10	25	0.021	3443	3200
10	26	0.022	2883	2379
10	22	0.024	4193	3052
10	17	0.023	3681	2615
10	24	0.028	4288	3393
10	19	0.02	5793	3700
10	25	0.028	2746	2583
10	32	0.031	3002	3002
10	26	0.03	3568	2924
10	23	0.027	2899	2454
10	24	0.029	3686	2763
10	22	0.047	5042	3356
10	26	0.028	4086	3256
10	26	0.029	3018	1957
10	24	0.025	2601	2601
10	20	0.019	3353	2318
10	22	0.024	2554	2434
10	21	0.022	3305	1906
10	27	0.029	1883	1622
10	27	0.024	1633	1422
10	18	0.032	1211	1106
10	18	0.021	4091	3380
10	26	0.033	4202	3017
10	23	0.065	3213	2506
10	23	0.035	4496	2718
10	29	0.031	3859	2923
10	22	0.019	1835	1835
10	25	0.034	5445	4018
10	23	0.038	3179	2213
10	17	0.025	2332	1814
10	20	0.029	5099	3695
10	24	0.027	4157	4048
10	19	0.019	3525	2552
10	20	0.028	5242	3802
10	24	0.02	5387	4568
10	25	0.031	3027	2139
10	28	0.03	3366	2629
10	26	0.036	2440	2440
10	24	0.029	3730	2610
10	23	0.029	3913	2982
10	20	0.018	5088	4156
10	24	0.102	2912	2499
10	18	0.02	3558	2352
10	18	0.018	3814	2931
10	19	0.026	4802	4144
10	24	0.02	3932	3027
10	19	0.018	1967	1943
10	17	0.017	3134	2822
10	23	0.032	3022	2029
10	17	0.024	2041	1982
10	16	0.017	2018	2018
10	21	0.027	2890	1958
10	24	0.025	3150	3006
10	21	0.024	3837	2143
10	22	0.032	3057	2194
10	18	0.036	3269	2214
10	33	0.033	4810	4149
10	27	0.023	3308	2514
10	22	0.026	4740	3754
10	14	0.029	1533	1417
10	21	0.029	3056	2284
10	26	0.03	2567	1909
10	21	0.048	3125	3125
10	25	0.021	3259	2358
10	16	0.025	1500	1224
10	19	0.02	3601	2717
10	22	0.019	5201	3890
10	24	0.021	2966	1849
10	22	0.032	3643	2693
10	19	0.025	2802	2009
10	25	0.029	4735	3549
10	20	0.03	3879	2205
10	23	0.024	3502	2853
10	20	0.019	2481	2067
10	18	0.034	3846	2988
10	22	0.028	4425	2758
10	24	0.02	2012	1444
10	19	0.029	3132	2303
10	23	0.029	3171	2144
10	21	0.02	5653	3885
10	23	0.028	2847	1817
10	17	0.047	2833	2155
10	25	0.029	2094	1351
10	23	0.02	5252	3881
10	29	0.024	4081	2867
10	22	0.021	2530	1567
10	20	0.019	3432	3055
10	20	0.019	3749	2478
10	22	0.029	4786	3054
10	21	0.028	3714	2549
10	25	0.026	2371	1627
10	19	0.031	4093	2717
10	30	0.032	3009	1973
10	19	0.025	4167	2560
10	21	0.029	5178	3268
10	22	0.027	3428	2685
10	18	0.026	3528	2959
10	24	0.046	2810	2334
10	26	0.023	4706	3746
10	22	0.019	2915	2890
10	24	0.047	3670	2844
10	27	0.022	4261	3496
10	23	0.02	4509	3584
10	27	0.033	3083	2181
10	19	0.046	2060	1326
10	22	0.026	5440	3113
10	21	0.027	4598	3054
10	20	0.028	2045	1583
10	22	0.043	2661	2162
10	23	0.029	4856	3188
10	24	0.022	5896	4164
10	22	0.019	3933	2708
10	21	0.026	4348	3267
10	20	0.026	3125	2567
10	20	0.02	2993	2993
10	24	0.021	3800	3763
10	25	0.021	2699	2409
10	20	0.028	2653	2158
10	15	0.029	1817	1455
10	21	0.028	3735	3728
