|V|	|E|	time	approx
100	2433	0.802	48711
100	2500	0.899	52764
100	2469	0.746	49845
100	2498	0.752	47690
100	2472	0.735	46651
100	2472	0.755	48346
100	2451	0.976	48550
100	2514	1.22	44861
100	2456	1.25	48855
100	2463	1.02	47922
100	2474	1.21	47595
100	2446	1.18	42599
100	2476	0.978	53129
100	2482	0.814	49887
100	2470	0.932	48636
100	2479	0.915	48035
100	2490	1.06	51919
100	2516	1.02	51966
100	2521	0.936	46920
100	2439	1.04	46565
100	2535	0.922	52723
100	2484	1.06	49833
100	2473	1.12	48189
100	2395	0.756	50983
100	2536	0.855	40139
100	2467	1.19	51947
100	2504	0.915	52931
100	2508	0.888	52139
100	2438	0.987	47073
100	2479	0.965	45956
100	2478	0.798	46331
100	2459	1.06	42964
100	2488	0.876	52703
100	2398	1.04	47409
100	2477	1.01	42935
100	2485	0.967	55865
100	2468	0.988	47659
100	2489	1.02	47262
100	2486	0.852	52374
100	2435	1.15	53566
100	2443	1.1	50638
100	2489	0.92	46656
100	2503	1.28	48782
100	2480	0.918	49755
100	2460	0.742	41988
100	2412	0.822	51309
100	2490	1.04	50340
100	2510	0.982	48079
100	2384	0.847	47855
100	2504	1.03	54934
100	2492	0.92	46769
100	2486	1.1	53423
100	2463	0.889	50224
100	2461	0.892	47715
100	2429	0.779	45484
100	2518	0.845	48304
100	2447	0.849	50308
100	2436	0.992	46523
100	2416	0.802	48275
100	2466	0.897	48518
100	2435	1.06	46239
100	2482	0.771	49054
100	2497	0.898	49954
100	2416	1.05	58246
100	2537	1.01	51978
100	2526	0.989	49474
100	2515	1.03	53054
100	2495	1.19	49354
100	2485	0.854	45970
100	2489	0.826	49144
100	2483	1.18	48630
100	2516	1.01	51308
100	2468	0.956	43787
100	2441	0.968	48376
100	2517	1.22	47146
100	2484	0.88	47458
100	2419	0.918	48753
100	2442	0.894	48313
100	2508	1.29	44441
100	2492	0.944	52685
100	2450	0.923	53888
100	2420	0.846	45748
100	2487	0.879	44973
100	2420	0.744	51190
100	2517	1.3	47869
100	2548	1.26	51044
100	2459	0.841	47158
100	2527	1.07	44721
100	2397	0.862	51273
100	2463	1.06	49371
100	2488	1.23	48523
100	2497	1.11	49197
100	2434	1.14	52231
100	2481	1.1	49752
